Ranking,Player,Votes
1,Patrick Cripps,34
2,Lachie Neale,33
3,Nick Daicos,33
4,Marcus Bontempelli,33
5,Rowan Marshall,24
6,Caleb Serong,23
7,Adam Treloar,23
8,Isaac Heeney,22
9,Max Gawn,22
10,Zak Butters,22
11,Noah Anderson,21
12,Matt Rowell,20
13,Zachary Merrett,20
14,Andrew Brayshaw,18
15,Tom Green,17
16,Luke D-Uniacke,17
17,Tristan Xerri,16
18,Harry Sheezel,16
19,Brodie Grundy,15
20,Sam Walsh,15
21,Josh Dunkley,15
22,Chad Warner,14
23,Connor Rozee,14
24,Kieren Briggs,14
25,Errol Gulden,14
26,Sam Flanders,14
27,Jai Newcombe,14
28,George Hewett,13
29,Jack Steele,13
30,Jesse Hogan,12
31,Christian Petracca,12
32,Jordan Dawson,12
33,Oliver Wines,12
34,Jeremy Cameron,12
35,Matt Crouch,11
36,Dylan Moore,11
37,Jack Sinclair,11
38,Hugh McCluggage,11
39,Lachie Whitfield,11
40,Jye Caldwell,11
41,Nicholas Martin,11
42,Jordan Clark,10
43,Tom De Koning,10
44,Hayden Young,10
45,Jason H-Francis,9
46,Nic Newman,9
47,James Worpel,9
48,Touk Miller,8
49,Jack Viney,8
50,Luke Ryan,8
51,Luke Jackson,8
52,Rory Laird,8
53,Oscar McInerney,8
54,Izak Rankine,8
55,Dayne Zorko,7
56,Toby Greene,7
57,Nasiah W-Milera,7
58,Tim Taranto,7
59,Ben Keays,7
60,Willem Drew,7
61,Jarrod Witts,7
62,Thomas Liberatore,7
63,Harry McKay,6
64,Dan Houston,6
65,Jake Waterman,6
66,Tim Kelly,6
67,Will Day,6
68,Jack Bowes,6
69,Toby Nankervis,6
70,Joe Daniher,6
71,Nick Blakey,6
72,Gryan Miers,6
73,Thomas Stewart,6
74,Jake Soligo,6
75,Elliot Yeo,6
76,Ed Richards,5
77,Jordan Ridley,5
78,Josh Daicos,5
79,Kysaiah Pickett,5
80,Harley Reid,4
81,Jack Crisp,4
82,James Sicily,4
83,Sam Durham,4
84,James Rowbottom,4
85,Trent Rivers,4
86,Darcy Cameron,4
87,Bailey Dale,4
88,Cameron Rayner,4
89,Finn Callaghan,4
90,Matthew Roberts,4
91,Tom Mitchell,4
92,Conor Nash,4
93,Shai Bolton,4
94,Darcy Parish,4
95,Oliver Florent,4
96,Jake Lever,4
97,Stephen Coniglio,3
98,Archie Perkins,3
99,Andrew McGrath,3
100,Patrick Dangerfield,3
101,Scott Pendlebury,3
102,Peter Wright,3
103,Harrison Himmelberg,3
104,Blake Hardwick,3
105,Lachlan Sholl,3
106,Max Holmes,3
107,Ollie Dempsey,3
108,Mason Wood,3
109,Patrick Lipinski,3
110,Jy Simpkin,3
111,Joel Amartey,3
112,Jake Stringer,3
113,Lloyd Meek,3
114,Mattaes Phillipou,3
115,Callum Wilkie,3
116,Ed Langdon,3
117,Jack Ginnivan,3
118,Charlie Dixon,3
119,Daniel Rioli,3
120,Tim Membrey,3
121,Tom Papley,3
122,Connor MacDonald,3
123,Charlie Curnow,3
124,Cooper Sharman,3
125,Brent Daniels,3
126,Alex N-Bullen,3
127,Sam Darcy,3
128,Jordon Sweet,3
129,Jordan De Goey,3
130,Mason Redman,3
131,Joshua Kelly,3
132,Nathan Fyfe,3
133,Jase Burgoyne,3
134,Clayton Oliver,3
135,Kyle Langford,3
136,Noah Balta,2
137,Ivan Soldo,2
138,Karl Amon,2
139,Todd Marshall,2
140,Nick Hind,2
141,Elijah Hollands,2
142,Eric Hipwood,2
143,Lachlan Bramble,2
144,Sean Darcy,2
145,Josh Treacy,2
146,Sam De Koning,2
147,Caleb Windsor,2
148,Adam Saad,2
149,Liam Baker,2
150,James Peatling,2
151,Matthew Kennedy,2
152,Oscar Allen,2
153,Jack Gunston,2
154,Rhys Stanley,2
155,Massimo D'Ambrosio,2
156,Timothy English,2
157,Jeremy Sharp,2
158,Jarrod Berry,2
159,Jackson Macrae,2
160,Blake Acres,2
161,Darcy Wilson,2
162,Will Hayward,2
163,Jake Lloyd,2
164,Jayden Short,1
165,Kai Lohmann,1
166,Ned Moyle,1
167,Sam Switkowski,1
168,Xavier O'Halloran,1
169,Jack Higgins,1
170,Nick Larkey,1
171,Jayden Laverde,1
172,Mark Keane,1
173,Dylan Shiel,1
174,Jacob Van Rooyen,1
175,Tom Sparrow,1
176,Tom Powell,1
177,Cody Weightman,1
178,Tanner Bruhn,1
179,Bailey Scott,1
180,Jeremy McGovern,1
181,Paddy Dow,1
182,Marc Pittonet,1
183,Dyson Heppell,1
184,Mitchell Duncan,1
185,Nick Vlastuin,1
186,Jacob Weitering,1
187,Taylor Walker,1
188,Bradley Hill,1
189,Tyson Stengle,1
190,Zach Guthrie,1
191,Mac Andrew,1
